,price,address,rooms
0,"$725,000", 12455 NE 80thKirkland WA 98033 ,3 beds 1 bath 
1,"$1,517,000", 11003 NE 104th StKirkland WA 98033 ,4 beds 2 baths 
2,"$1,499,900", 225 4th Ave A503Kirkland WA 98033 ,2 beds 1 bath 
3,"$1,050,000", 8537 NE 128th StKirkland WA 98034 ,4 beds 2 baths 
4,"$960,000", 13464 95th Ave NEKirkland WA 98034 ,4 beds 2 baths 
5,"$1,100,000", 750 State St EKirkland WA 98033 ,3 beds 3 baths 
6,"$2,395,000", 816 2nd StKirkland WA 98033 ,5 beds 3 baths 
7,"$1,875,000", 9009 116th Ave NEKirkland WA 98033 ,5 beds 3 baths 
8,"$1,285,000", 742 17th Ave WKirkland WA 98033 ,3 beds 1 bath 
9,"$688,000", 11226 NE 68th St BKirkland WA 98033 ,2 beds 2 baths 
10,"$2,238,000", 119 6th AveKirkland WA 98033 ,4 beds 2 baths 
11,"$429,950", 521 7th Ave 204Kirkland WA 98033 ,1 bed 1 bath 
12,"$750,000", 12221 NE 70th StKirkland WA 98033 ,
13,"$750,000", 12221 NE 70th StKirkland WA 98033 ,3 beds 1 bath 
14,"$2,500,000", 14216 97th Ave NEKirkland WA 98034 ,
15,"$725,000", 10935 NE 133rd StKirkland WA 98034 ,
16,"$725,000", 10935 NE 133rd StKirkland WA 98034 ,3 beds 1 bath 
17,"$320,000", 11920 98th Ave NE #105Kirkland WA 98034 ,1 bed 1 bath 
18,"$345,000", 12633 100th Lane H-138Kirkland WA 98034 ,
19,"$699,000", 99999 NE 143rd StKirkland WA 98034 ,
